tag,num_train,AP,dataset
#stop,82.0,0.0007155,ari_full
#meeks,89.0,0.0030230,ari_full
#keeks,89.0,0.0041388,ari_full
#free,81.0,0.0003425,ari_full
#charlieputh,87.0,0.0011252,ari_full
#nails,82.0,0.0153975,ari_full
#fallout,94.0,0.0266346,ari_full
#bo2trickshot,52.0,0.0475641,ari_full
#seventeen,87.0,0.0010498,ari_full
#hamster,92.0,0.0033753,ari_full
#depressededit,48.0,0.0288040,ari_full
#rapper,64.0,0.0009147,ari_full
#coconutcam,70.0,0.0443052,ari_full
#bleach,97.0,0.0004024,ari_full
#weeaboo,35.0,0.0001828,ari_full
#gerbilsofvine,89.0,0.2186919,ari_full
#yato,97.0,0.0553034,ari_full
#90s,80.0,0.1064810,ari_full
#footystarsquad,86.0,0.0022880,ari_full
#nwe,40.0,0.0002981,ari_full
#ouch,77.0,0.0015899,ari_full
#cleveland,104.0,0.0039658,ari_full
#neko,75.0,0.0013745,ari_full
#shtuesday,90.0,0.0028178,ari_full
#craftbeer,84.0,0.0063846,ari_full
#kibum,48.0,0.1424036,ari_full
#tgif,87.0,0.0006939,ari_full
#mlp,86.0,0.0027578,ari_full
#fss,113.0,0.0051109,ari_full
#pugs,89.0,0.0015783,ari_full
#hilariousvines,70.0,0.1585268,ari_full
#harmony,78.0,0.0156782,ari_full
#guns,79.0,0.0009256,ari_full
#army,65.0,0.0003826,ari_full
#americanhorrorstory,87.0,0.0010380,ari_full
#leravers,139.0,0.0337615,ari_full
#ps3,83.0,0.0011256,ari_full
#thunder,83.0,0.0012259,ari_full
#eggs,81.0,0.0024067,ari_full
#cuttingshapes,80.0,0.0099990,ari_full
#sunshine,72.0,0.0008040,ari_full
#show,57.0,0.0003461,ari_full
#1d,74.0,0.0005676,ari_full
#rat,62.0,0.0012679,ari_full
#freeiwatobiswimclub,99.0,0.0017973,ari_full
#twinbotiz,0.0,0.0004488,ari_full
#bathbomb,95.0,0.0227135,ari_full
#psychedelic,78.0,0.0018064,ari_full
#pll,72.0,0.0013344,ari_full
#cook,74.0,0.0012235,ari_full
#singersongwriter,39.0,0.0038787,ari_full
#rekt,73.0,0.0004345,ari_full
#bf4,104.0,0.0435665,ari_full
#letmeloveyou,33.0,0.0015437,ari_full
#acapellacover,77.0,0.0024095,ari_full
#exol,62.0,0.0081248,ari_full
#skill,73.0,0.0005670,ari_full
#orange,68.0,0.0004069,ari_full
#farewelltvdchallenge,75.0,0.0363406,ari_full
#owarinoseraph,84.0,0.0070264,ari_full
#comic,60.0,0.0005166,ari_full
#bollywood,78.0,0.0007199,ari_full
#health,47.0,0.0005223,ari_full
#videoedit,68.0,0.0004801,ari_full
#paradise,63.0,0.0029473,ari_full
#part1,87.0,0.0005322,ari_full
#producer,44.0,0.0006303,ari_full
#pun,60.0,0.0005059,ari_full
#dragonballsuper,65.0,0.0040116,ari_full
#dancingbellsprout,75.0,0.6317068,ari_full
#faze,64.0,0.0008017,ari_full
#battlefront,82.0,0.0013884,ari_full
#edsheerancover,70.0,0.0008870,ari_full
#tiger,100.0,0.0028477,ari_full
#amber,26.0,0.0002605,ari_full
#debate,55.0,0.0071661,ari_full
#happyjungkookday,77.0,0.0061319,ari_full
#demdebate,110.0,0.0566094,ari_full
#healthwatch,134.0,0.0023831,ari_full
#soul,56.0,0.0002419,ari_full
#freekick,69.0,0.0165883,ari_full
#parrot,71.0,0.0013345,ari_full
#dubai,84.0,0.0125879,ari_full
#bars,57.0,0.0007462,ari_full
#glidingonair,0.0,0.0004962,ari_full
#quote,76.0,0.0026608,ari_full
#autism,42.0,0.0002710,ari_full
#bostonmarathon,130.0,0.2380559,ari_full
#nalu,67.0,0.0101207,ari_full
#goclear,59.0,0.0672920,ari_full
#patrickstjean,69.0,0.0007341,ari_full
#filipinovines,84.0,0.0006031,ari_full
#blackcat,62.0,0.0023850,ari_full
#nets,117.0,0.0540909,ari_full
#skitzngigglez,76.0,0.0032580,ari_full
#kpopchannel,60.0,0.0005714,ari_full
#ratsareawesome,67.0,0.0069730,ari_full
#backflip,69.0,0.0008703,ari_full
#spongebobsquarepants,62.0,0.0096575,ari_full
#exok,82.0,0.0005233,ari_full
#thedivision,86.0,0.0054178,ari_full
#ironman,72.0,0.0028080,ari_full
#rugby,74.0,0.0507133,ari_full
#streetdance,20.0,0.0006270,ari_full
#bff,50.0,0.0200166,ari_full
#boss,59.0,0.0003964,ari_full
#vaporwave,67.0,0.0008774,ari_full
#follows,21.0,0.0006012,ari_full
#bbcnews,121.0,0.0000417,ari_full
#bestfriends,59.0,0.0003864,ari_full
#fivenightsatfreddys,64.0,0.0013702,ari_full
#centro,116.0,0.1146760,ari_full
#baile,41.0,0.0004825,ari_full
#wolf,51.0,0.0028273,ari_full
#vinecomio,77.0,0.0002187,ari_full
#siamese,78.0,0.0022049,ari_full
#ireland,61.0,0.0006079,ari_full
#neymarjr,61.0,0.0017708,ari_full
#theoriginaltwinbotz,9.0,0.1178888,ari_full
#fashionblogger,89.0,0.0018919,ari_full
#yourplottwist,65.0,0.0016855,ari_full
#silhouettesunday,66.0,0.0016509,ari_full
#gamegrumps,74.0,0.0035734,ari_full
#madonna,57.0,0.0005089,ari_full
#marchmadness,79.0,0.0578476,ari_full
#videogameedit,64.0,0.0040132,ari_full
#crewelite,142.0,0.0007477,ari_full
#familyguy,63.0,0.0041185,ari_full
#hotaf,57.0,0.0003010,ari_full
#blackops2,59.0,0.0115380,ari_full
#sonicadventuredx,62.0,0.4902346,ari_full
#ratlife,81.0,0.0845677,ari_full
#fitfam,37.0,0.0004293,ari_full
#kardinaloffishall,0.0,0.0000578,ari_full
#lufc,61.0,0.1394204,ari_full
#vhs,63.0,0.0007135,ari_full
#niggasbelike,55.0,0.0476437,ari_full
#hawks,31.0,0.0279967,ari_full
#tedtvedits,39.0,0.0012914,ari_full
#mouse,58.0,0.0013912,ari_full
#geometrydash,67.0,0.1700836,ari_full
#squirrel,66.0,0.0016261,ari_full
#ncaa,67.0,0.0138955,ari_full
#rwbyedit,58.0,0.0114596,ari_full
#greekgodchallenge,60.0,0.0036552,ari_full
#madrid,68.0,0.0007959,ari_full
#zoo,54.0,0.0011214,ari_full
#stressedout,86.0,0.0005394,ari_full
#suhdude,66.0,0.0003496,ari_full
#depressing,22.0,0.0014286,ari_full
#beatboxnation,49.0,0.0080240,ari_full
#greysanatomy,53.0,0.0011175,ari_full
#stunt,55.0,0.0007463,ari_full
#doxie,42.0,0.0020939,ari_full
#kuroshitsuji,82.0,0.0316805,ari_full
#gtastunts,31.0,0.0020812,ari_full
#vinecomicreviews,58.0,0.7972849,ari_full
#trance,51.0,0.0003001,ari_full
#forest,58.0,0.0030469,ari_full
#nbaallstarto,126.0,0.0919965,ari_full
#kyliejenner,52.0,0.0007687,ari_full
#instrumental,43.0,0.0002636,ari_full
#magconboys,48.0,0.0001406,ari_full
#patriots,53.0,0.0399711,ari_full
#itslit,49.0,0.0004522,ari_full
#assassinscreed,67.0,0.0212219,ari_full
#cali,51.0,0.0005102,ari_full
#arizona,32.0,0.0007265,ari_full
#dancingbotz,71.0,0.0492568,ari_full
#europe,50.0,0.0005295,ari_full
#kingjames,57.0,0.0010133,ari_full
#drinking,51.0,0.0007194,ari_full
#fruit,46.0,0.0007380,ari_full
#nhprimary2016,109.0,0.0001806,ari_full
#indovines,57.0,0.0003605,ari_full
#equestrian,58.0,0.0038833,ari_full
#beard,51.0,0.0006717,ari_full
#blazesquad,31.0,0.0067331,ari_full
#monkey,55.0,0.0004336,ari_full
#liverpool,58.0,0.0005159,ari_full
#natsu,58.0,0.0013677,ari_full
#sakura,56.0,0.0300391,ari_full
#ilovemydog,54.0,0.0019511,ari_full
#shuffledance,47.0,0.0013397,ari_full
#onceuponatime,58.0,0.0005910,ari_full
#primesquad,51.0,0.0024977,ari_full
#deer,51.0,0.0021558,ari_full
#otp,53.0,0.0013003,ari_full
#eliteeditsofthegamers,69.0,0.0276805,ari_full
#feminism,52.0,0.0063945,ari_full
#gainbackfollowers,71.0,0.0257065,ari_full
#malec,60.0,0.0024064,ari_full
#krump,32.0,0.0437895,ari_full
#experienciasbioparc,54.0,0.0477222,ari_full
#ourblues,57.0,0.3317632,ari_full
#jensenackles,46.0,0.0016293,ari_full
#turtle,49.0,0.0008091,ari_full
#handmade,49.0,0.0280813,ari_full
#doglover,46.0,0.0007646,ari_full
#slfl,66.0,0.0026918,ari_full
#roses,57.0,0.0007881,ari_full
#doglife,54.0,0.0005731,ari_full
#collegefootball,57.0,0.0028080,ari_full
#gato,49.0,0.0005206,ari_full
#nightprophecy,54.0,0.0316178,ari_full
#keyboard,48.0,0.0002934,ari_full
#insanitycrew,52.0,0.0050324,ari_full
#cuteanimals,44.0,0.0003494,ari_full
#mvpsports,38.0,0.0093794,ari_full
#shot,24.0,0.0001865,ari_full
#montreal,37.0,0.0002081,ari_full
#offensivememes,51.0,0.0090299,ari_full
#bungoustraydogs,60.0,0.0021034,ari_full
#championsleague,58.0,0.0022148,ari_full
#airplane,46.0,0.0017833,ari_full
#singers,35.0,0.0004044,ari_full
#guy,25.0,0.0001310,ari_full
#kyungsoo,33.0,0.0003192,ari_full
#11037daysofdr,54.0,0.0030333,ari_full
#rockets,64.0,0.0617568,ari_full
#christinaaguilera,46.0,0.0002168,ari_full
#playstation4,51.0,0.0003862,ari_full
#island,44.0,0.0006597,ari_full
#seraphoftheend,48.0,0.0032228,ari_full
#playforglorycrew,37.0,0.0067904,ari_full
#tricking,47.0,0.0017543,ari_full
#editsquad,49.0,0.0110113,ari_full
#cutecat,38.0,0.0011568,ari_full
#lukasgraham,55.0,0.0016262,ari_full
#logic,48.0,0.0003401,ari_full
#teaminstinct,48.0,0.0235751,ari_full
#longboard,45.0,0.0087102,ari_full
#shiba,49.0,0.0131344,ari_full
#woman,38.0,0.0002734,ari_full
#sweden,47.0,0.0007973,ari_full
#man,44.0,0.0001648,ari_full
#gloving,41.0,0.3071209,ari_full
#pomeranian,47.0,0.0218657,ari_full
#bulldogsofvine,48.0,0.0005322,ari_full
#mmd,61.0,0.0009103,ari_full
#jinyoung,67.0,0.0002347,ari_full
#musicandsports,49.0,0.0276898,ari_full
#walk,40.0,0.0003826,ari_full
#petrat,30.0,0.0005662,ari_full
#trailer,53.0,0.0006669,ari_full
#dlinevids,49.0,0.0287171,ari_full
#lame,47.0,0.0003118,ari_full
#steelers,48.0,0.0010266,ari_full
#larrystylinson,46.0,0.0018240,ari_full
#marktuan,51.0,0.0005424,ari_full
#duck,42.0,0.0003532,ari_full
#martialarts,44.0,0.0010113,ari_full
#kakashi,53.0,0.0005742,ari_full
#younow,26.0,0.0001662,ari_full
#alternative,25.0,0.0002852,ari_full
#justiceleague,35.0,0.0002315,ari_full
#unc,26.0,0.0004332,ari_full
#yanderesimulator,46.0,0.0246440,ari_full
#foodgasm,21.0,0.0003689,ari_full
#gmod,66.0,0.0001781,ari_full
#cordialrc2,46.0,0.0464846,ari_full
#animemeweek,47.0,0.0063186,ari_full
#sf,53.0,0.0002001,ari_full
#cnblueworld,35.0,0.0018135,ari_full
#piraterp,45.0,0.0007353,ari_full
#springbreak,62.0,0.0001407,ari_full
#farmlife,44.0,0.0004532,ari_full
#gol,41.0,0.0169659,ari_full
#ouranhighschoolhostclub,53.0,0.0037532,ari_full
#inspirehappiness,19.0,0.0022804,ari_full
#9daysofscream,45.0,0.0059364,ari_full
#poledance,47.0,0.0005125,ari_full
#zachking,34.0,0.0003850,ari_full
#orgnlstyle,100.0,0.0140054,ari_full
#pacers,50.0,0.0191746,ari_full
#drumandbass,16.0,0.0004809,ari_full
#corgisofvine,48.0,0.0008163,ari_full
#mischiefmadness,27.0,0.0020692,ari_full
#waterbottleflip,41.0,0.0006585,ari_full
#twinz,66.0,0.0001170,ari_full
#buzzerbeater,47.0,0.0061723,ari_full
#grunge,26.0,0.0003314,ari_full
#ninja,38.0,0.0003551,ari_full
#motion,27.0,0.0003135,ari_full
#poodle,46.0,0.0009535,ari_full
#flips,37.0,0.0009271,ari_full
#playtime,39.0,0.0009603,ari_full
#usher,41.0,0.0003808,ari_full
#magi,45.0,0.0290605,ari_full
#furbaby,36.0,0.0006996,ari_full
#ouat,52.0,0.0025675,ari_full
#specialfx,39.0,0.0006052,ari_full
#rncincle,43.0,0.0004207,ari_full
#vancouver,38.0,0.0006659,ari_full
#wbznewsat6,43.0,0.2462465,ari_full
#newgame,23.0,0.0233252,ari_full
#link,39.0,0.0016417,ari_full
#camping,41.0,0.0006097,ari_full
#bokunoheroacademia,59.0,0.0007419,ari_full
#stydia,42.0,0.0029958,ari_full
#ferrari,43.0,0.0014144,ari_full
#nailpolish,38.0,0.0012531,ari_full
#nomnom,40.0,0.0005757,ari_full
#ssb43ds,30.0,0.4169576,ari_full
#gainfollowers,42.0,0.0786276,ari_full
#funk,40.0,0.0001772,ari_full
#damonsalvatore,44.0,0.0017772,ari_full
#5sosfam,52.0,0.0004856,ari_full
#tmnt,54.0,0.0041440,ari_full
#adelehello,47.0,0.0004572,ari_full
#coym,27.0,0.0396734,ari_full
#mydog,47.0,0.0003287,ari_full
#akamegakill,54.0,0.0014500,ari_full
#goldenstatewarriors,41.0,0.0002693,ari_full
#goats,50.0,0.0008840,ari_full
#wakeupwords,49.0,0.6415135,ari_full
#bringusback,44.0,0.0017519,ari_full
#virussquad,44.0,0.0042101,ari_full
#vr,43.0,0.0002461,ari_full
#cereal,45.0,0.0006230,ari_full
#9daysofanimeeyes,48.0,0.0022034,ari_full
#aliens,40.0,0.0003785,ari_full
#gamergirl,37.0,0.0003786,ari_full
#lovethissong,37.0,0.0005631,ari_full
#fitnessgrampacertest,54.0,0.0004207,ari_full
#perpignan,20.0,0.0011857,ari_full
#blooper,23.0,0.0002049,ari_full
#tasty,36.0,0.0006999,ari_full
#justforfun,31.0,0.0021718,ari_full
#tgambinoif,41.0,0.0003218,ari_full
#war,35.0,0.0002146,ari_full
#vixxken,10.0,0.0018211,ari_full
#myvoice,42.0,0.0008473,ari_full
#transformation,44.0,0.0002831,ari_full
#roasted,38.0,0.0004032,ari_full
#nailedit,29.0,0.0002054,ari_full
#action,30.0,0.0001509,ari_full
#terrier,41.0,0.0008798,ari_full
#smash,44.0,0.0026515,ari_full
#kyoto,41.0,0.0122951,ari_full
#vineitwhileyoudriveit,43.0,0.0011220,ari_full
#vmldraft1,34.0,0.0103672,ari_full
#blingaudios,40.0,0.0982079,ari_full
#scottmccall,42.0,0.0010747,ari_full
#walmart,40.0,0.0002900,ari_full
#alaska,39.0,0.0009955,ari_full
#hornets,35.0,0.0206845,ari_full
#animallover,22.0,0.0003621,ari_full
#itachi,42.0,0.0009240,ari_full
#chinchilla,39.0,0.0009984,ari_full
#jumpman,51.0,0.0001743,ari_full
#election,34.0,0.0011685,ari_full
#cuba,38.0,0.0002108,ari_full
#lgndsquad,43.0,0.0047766,ari_full
#teewolf,38.0,0.0325937,ari_full
#sand,26.0,0.0037596,ari_full
#urban,23.0,0.0007876,ari_full
#carolinapanthers,48.0,0.0005628,ari_full
#caribbean,53.0,0.0012355,ari_full
#dunkcontest,50.0,0.0048784,ari_full
#bb18,33.0,0.0007286,ari_full
#southboston,71.0,0.0194441,ari_full
#swissbeatbox,62.0,0.0091014,ari_full
#darksouls,40.0,0.0009225,ari_full
#southafrica,47.0,0.0002969,ari_full
#valencia,42.0,0.0009121,ari_full
#demsinphilly,43.0,0.0055571,ari_full
#fujiyoshidacity,38.0,0.0048939,ari_full
#gd,37.0,0.0003749,ari_full
#topchallenge,38.0,0.0019687,ari_full
#photooftheday,24.0,0.0002901,ari_full
#phantomgourmet,62.0,0.1407629,ari_full
#rockthered,73.0,0.0245601,ari_full
#3ds,40.0,0.0022601,ari_full
#bottle,25.0,0.0003323,ari_full
#jackandjack,40.0,0.0003341,ari_full
#newat6,49.0,0.0400909,ari_full
#2016nhldraft,37.0,0.1306595,ari_full
#evonation,43.0,0.0133789,ari_full
#conormcgregor,43.0,0.0007605,ari_full
#sgvines,54.0,0.0260343,ari_full
#thetinydog,38.0,0.0011530,ari_full
#ajax,37.0,0.9190326,ari_full
#blog,24.0,0.0002009,ari_full
#elenagilbert,37.0,0.0407777,ari_full
#rvb,39.0,0.0008220,ari_full
#nctu,45.0,0.0007784,ari_full
#bestnflplays,32.0,0.1490930,ari_full
#cookingpanda,37.0,0.0894218,ari_full
#alessiacara,46.0,0.0003335,ari_full
#imperialsquad,39.0,0.0040139,ari_full
#brooklyn,38.0,0.0001917,ari_full
#sheep,34.0,0.0044364,ari_full
#flowey,43.0,0.0007011,ari_full
#8daysofanimecharacters,39.0,0.0007272,ari_full
#siberianhusky,44.0,0.0011913,ari_full
#sportsedits,31.0,0.0000992,ari_full
#psycho,33.0,0.0001861,ari_full
#guineapig,41.0,0.0004723,ari_full
#nfldraft,40.0,0.2862927,ari_full
#gorillaz,35.0,0.0003920,ari_full
#hehe,16.0,0.0000963,ari_full
#positive,28.0,0.0004569,ari_full
#learning,23.0,0.0002251,ari_full
#yourgloup,33.0,0.0089116,ari_full
#hiroshima,45.0,0.0006749,ari_full
#usabwnt,46.0,0.0018459,ari_full
#wwenxt,3.0,0.0000379,ari_full
#valhallarc4,45.0,0.0049765,ari_full
#buckybarnes,27.0,0.0007534,ari_full
#dangerous,36.0,0.0002326,ari_full
#childhood,32.0,0.0002936,ari_full
#mar,45.0,0.0011843,ari_full
#harrystylesedit,33.0,0.0006077,ari_full
#sims4,36.0,0.0007039,ari_full
#contest,42.0,0.0001628,ari_full
#pig,32.0,0.0002513,ari_full
#splash,42.0,0.0008102,ari_full
#wbznewsat5,36.0,0.1719783,ari_full
#azwx,36.0,0.5705247,ari_full
#bowie,46.0,0.0001562,ari_full
#guys,32.0,0.0005022,ari_full
#choreo,20.0,0.0030440,ari_full
#vinedance,25.0,0.0010923,ari_full
#alllivesmatter,35.0,0.0002971,ari_full
#kamdelafu,35.0,0.0756244,ari_full
#skyline,34.0,0.0009511,ari_full
#walkingdead,46.0,0.0001491,ari_full
#aussieviner,35.0,0.0009746,ari_full
#pixelart,32.0,0.0007742,ari_full
#bikelife,29.0,0.0003900,ari_full
#playofthegame,51.0,0.0011705,ari_full
#firstanimeweek,40.0,0.0016018,ari_full
#obito,43.0,0.0006905,ari_full
#5daysofmm,38.0,0.0017515,ari_full
#alexmorgan,30.0,0.0010007,ari_full
#goofy,34.0,0.0001704,ari_full
#photograph,30.0,0.0005927,ari_full
#bringmethehorizon,36.0,0.0002934,ari_full
#ohagi,40.0,0.0010024,ari_full
#kpopfunny,24.0,0.0002222,ari_full
#thinkingoutloud,48.0,0.0002818,ari_full
#ship,27.0,0.0001889,ari_full
#basketballneverstops,32.0,0.0003516,ari_full
#allstar,38.0,0.0002815,ari_full
#thegoodvoice,52.0,0.0004228,ari_full
#chicagoblackhawks,42.0,0.0062940,ari_full
#artistic,31.0,0.0002017,ari_full
#callofdutyadvancedwarfare,19.0,0.0000807,ari_full
#vegetarian,44.0,0.0013774,ari_full
#uber,41.0,0.0006637,ari_full
#teamcoolsmoketricks,29.0,0.0001954,ari_full
#madden,38.0,0.0524539,ari_full
#bighit,43.0,0.0064902,ari_full
#toddler,39.0,0.0002444,ari_full
#suicidesquadedit,49.0,0.0024751,ari_full
#taeyeon,35.0,0.0529061,ari_full
#kitties,19.0,0.0002525,ari_full
#strawberry,35.0,0.0004326,ari_full
#newblowpopflavors,36.0,0.6807074,ari_full
#smackdown,22.0,0.0003092,ari_full
#vote,37.0,0.0001484,ari_full
#debatenight,33.0,0.0469505,ari_full
#playa,32.0,0.0023938,ari_full
#360,31.0,0.0001272,ari_full
#harleyquinnedit,36.0,0.0003368,ari_full
#underrated,36.0,0.0015787,ari_full
#sassy,27.0,0.0001634,ari_full
#9daysoffairytail,40.0,0.0011573,ari_full
#purple,35.0,0.0002654,ari_full
#pianist,35.0,0.0039892,ari_full
#snl,31.0,0.0005052,ari_full
#cut,18.0,0.0001212,ari_full
#mylove,34.0,0.0034604,ari_full
#acidaudios,37.0,0.0058290,ari_full
#teamzeub,23.0,0.0001312,ari_full
#happydog,47.0,0.0002822,ari_full
#firesports,34.0,0.0805974,ari_full
#dubnation,33.0,0.0019281,ari_full
#fountain,31.0,0.0008513,ari_full
#muse,35.0,0.0003800,ari_full
#flstudio,36.0,0.0052410,ari_full
#humpday,28.0,0.0002205,ari_full
#bocajuniors,25.0,0.0009872,ari_full
#denverbroncos,38.0,0.0003435,ari_full
#atx,39.0,0.0002189,ari_full
#honey,30.0,0.0002757,ari_full
#newzealand,43.0,0.0001979,ari_full
#illusion,32.0,0.0001631,ari_full
#grandshoutout,33.0,0.5139903,ari_full
#jgktmcontest,35.0,0.0034037,ari_full
#outsidersau,33.0,0.0307902,ari_full
#rofl,20.0,0.0001041,ari_full
#editorpositivityweek,33.0,0.0006811,ari_full
#moves,24.0,0.0003393,ari_full
#httr,42.0,0.0514738,ari_full
#risesquad1,34.0,0.0022389,ari_full
#katherinepierce,35.0,0.0058464,ari_full
#rhianna,30.0,0.0001808,ari_full
#kick,24.0,0.0001437,ari_full
#furrypride,33.0,0.0040306,ari_full
#cs45k,39.0,0.0108071,ari_full
#allin216,33.0,0.0015240,ari_full
#clexa,36.0,0.0026898,ari_full
#air,32.0,0.0001421,ari_full
#staffy,46.0,0.0000759,ari_full
#next,32.0,0.1004642,ari_full
#vogue,37.0,0.0011759,ari_full
#yuta,27.0,0.0012379,ari_full
#toystory,30.0,0.0001637,ari_full
#motocross,29.0,0.0003030,ari_full
#mariokart,43.0,0.0001349,ari_full
#idkwhatimdoing,32.0,0.0002179,ari_full
#nashville,29.0,0.0003743,ari_full
#underswap,35.0,0.0015199,ari_full
#flythew,32.0,0.3874282,ari_full
#famousvine,25.0,0.0001739,ari_full
#cl,28.0,0.0001179,ari_full
#vinecomedy,29.0,0.0003501,ari_full
#gopackgo,32.0,0.0012251,ari_full
#gnash,28.0,0.0006944,ari_full
#fairytailanime,38.0,0.0003149,ari_full
#peopledontdancenomo,32.0,0.0865174,ari_full
#squarevideo,35.0,0.0002566,ari_full
#calvinharris,25.0,0.0003735,ari_full
#6daysofsongs,34.0,0.0033547,ari_full
#newjersey,31.0,0.0004515,ari_full
#junkoenoshima,52.0,0.0014612,ari_full
#aphamerica,33.0,0.0020679,ari_full
#cph4,59.0,0.0354740,ari_full
#momo,27.0,0.0001595,ari_full
#kd,32.0,0.0003500,ari_full
#villanova,27.0,0.1145451,ari_full
#sugar,35.0,0.0002248,ari_full
#chinesefood,34.0,0.0034831,ari_full
#screaming,30.0,0.0002526,ari_full
#teamdilligaf,54.0,0.0039092,ari_full
#adultswim,27.0,0.0001504,ari_full
#kingdomhearts,29.0,0.0001840,ari_full
#photoshop,34.0,0.0005000,ari_full
#ufc196,51.0,0.0120848,ari_full
#bleachanime,35.0,0.0003004,ari_full
#big,23.0,0.0001609,ari_full
#whoa,12.0,0.0000606,ari_full
#quick,9.0,0.0000825,ari_full
#frenchvine2016,32.0,0.0001647,ari_full
#mother,28.0,0.0001588,ari_full
#basssquad,21.0,0.0117607,ari_full
#stream,31.0,0.0002644,ari_full
#voltron,30.0,0.0075112,ari_full
#pup,23.0,0.0002759,ari_full
#digital,26.0,0.0002343,ari_full
#stayweird,25.0,0.0104935,ari_full
#bioparcvalencia,39.0,0.0038259,ari_full
#steelersfootball,31.0,0.0108835,ari_full
#easter,34.0,0.0001803,ari_full
#shihtzu,31.0,0.0006581,ari_full
#canadian,31.0,0.0004645,ari_full
#kriegersquad,32.0,0.0196314,ari_full
#chacabuco,31.0,0.0034528,ari_full
#nyfw,40.0,0.0037551,ari_full
#jordan,26.0,0.0001480,ari_full
#rollercoaster,32.0,0.0003863,ari_full
#hallelujah,34.0,0.0005282,ari_full
#bestoftheday,22.0,0.0000499,ari_full
#citylife,31.0,0.0003388,ari_full
#ontherise,22.0,0.0001369,ari_full
#slipknot,27.0,0.0002774,ari_full
#pinoyvines,42.0,0.0001288,ari_full
#emoji,38.0,0.0002208,ari_full
#usopen,31.0,0.0780848,ari_full
#doodles,34.0,0.0090916,ari_full
#snapchatfilter,30.0,0.0012663,ari_full
#wtfamidoing,32.0,0.0001673,ari_full
#ptv,16.0,0.0001303,ari_full
#marveledit,27.0,0.0002460,ari_full
#hmu,2.0,0.0001125,ari_full
#pittsburgh,29.0,0.0001677,ari_full
#100followers,34.0,0.0001577,ari_full
#hookah,40.0,0.0001543,ari_full
#noodles,40.0,0.0002619,ari_full
#attblockparty,30.0,0.9908295,ari_full
#explisivesquad,30.0,0.0607419,ari_full
#supersmashbroswiiu,37.0,0.0005846,ari_full
#wizkhalifa,31.0,0.0001920,ari_full
#fridayfeeling,30.0,0.0002972,ari_full
#killlakill,38.0,0.0002218,ari_full
#daryldixon,28.0,0.0005532,ari_full
#spin,27.0,0.0001491,ari_full
#ableton,28.0,0.0002657,ari_full
#redskins,36.0,0.0005190,ari_full
#trickshotedits,3.0,0.0002218,ari_full
#yunogasai,36.0,0.0016472,ari_full
#gore,26.0,0.0004057,ari_full
#spoiled,36.0,0.0004368,ari_full
#edinburgh,34.0,0.0011845,ari_full
#letsplay,29.0,0.0007891,ari_full
#shottime,30.0,0.0616298,ari_full
#recognize,31.0,0.0375109,ari_full
#elvispresley,28.0,0.0003101,ari_full
#contemporaryart,29.0,0.0013352,ari_full
#seun2contest,29.0,0.0044576,ari_full
#justcause3,46.0,0.0002041,ari_full
#record,30.0,0.0004648,ari_full
#ibiza,27.0,0.0007932,ari_full
#sidemen,26.0,0.0003218,ari_full
#heatnation,32.0,0.0014255,ari_full
#osaka,29.0,0.0003702,ari_full
#yixing,25.0,0.0002784,ari_full
#beardeddragon,30.0,0.0030223,ari_full
#tombrady,42.0,0.0002173,ari_full
#manicure,17.0,0.0002781,ari_full
#smule,35.0,0.0010292,ari_full
#rapgod,24.0,0.0002757,ari_full
#igot7,14.0,0.0000715,ari_full
#swing,25.0,0.0001720,ari_full
#likeforfollow,31.0,0.0000837,ari_full
#aye,19.0,0.0001582,ari_full
#bostonbruins,48.0,0.0892560,ari_full
#romance,26.0,0.0001380,ari_full
#10daysofsu,30.0,0.0713506,ari_full
#chihuahuas,18.0,0.0002417,ari_full
#margotrobbie,25.0,0.0005441,ari_full
#mickeymouse,33.0,0.0001517,ari_full
#groove,29.0,0.0001024,ari_full
#aliceinwonderland,31.0,0.0001381,ari_full
#afro,10.0,0.0000970,ari_full
#rumbleviral,23.0,0.0003693,ari_full
#poopfrogg,34.0,0.0008913,ari_full
#austin,27.0,0.0001212,ari_full
#lovesong,25.0,0.0003316,ari_full
#superjunior,29.0,0.0001373,ari_full
#tut,25.0,0.0001322,ari_full
#screamqueens,26.0,0.0006571,ari_full
#vikings,33.0,0.0001028,ari_full
#ew,24.0,0.0002226,ari_full
#fridaynightlightz,29.0,0.0019195,ari_full
#edlp,28.0,0.0409967,ari_full
#foot,20.0,0.0001753,ari_full
#clay,28.0,0.0002206,ari_full
#jyp,14.0,0.0000761,ari_full
#makeuptutorial,26.0,0.0003558,ari_full
#pacman,30.0,0.0005531,ari_full
#ukelele,24.0,0.0004060,ari_full
#maggielindemann,29.0,0.0099576,ari_full
#explosivesquad,22.0,0.0011628,ari_full
#heavy,11.0,0.0001211,ari_full
#kpopedits,15.0,0.0002271,ari_full
#voltronlegendarydefender,28.0,0.0036902,ari_full
#alphasquad,28.0,0.0536120,ari_full
#fifa16goals,26.0,0.0057490,ari_full
#michaelmyers,35.0,0.0001258,ari_full
#tlop,43.0,0.7386624,ari_full
#freestyledance,34.0,0.0003728,ari_full
#squidward,33.0,0.0012847,ari_full
#switzerland,36.0,0.0019514,ari_full
#13,29.0,0.0043876,ari_full
#story,28.0,0.0000982,ari_full
#paranormal,25.0,0.0005758,ari_full
